	ENG_t	FR_t	eng_stem	fr_stem	ratio_similarity
1284	flit	voltiger	flit	voltig	40
1285	float	flotter	float	flott	80
1286	floodlight	projecteur	floodlight	projecteur	20
1287	floodlit	éclairé	floodlit	éclair	29
1288	floppiest	disquette	floppiest	disquet	38
1289	floreat	fleureat	floreat	fleureat	80
1290	floret	fleuron	floret	fleuron	46
1291	florist	fleuriste	florist	fleurist	80
1292	flout	se moquer	flout	se moqu	33
1293	flowerpot	pot de fleur	flowerpot	pot de fleur	29
1294	fluent	courant	fluent	cour	20
1295	fluffiest	le plus moelleux	fluffiest	le plus moel	29
1296	flukiest	flukiest	flukiest	flukiest	100
1297	fluorescent	fluorescent	fluoresc	fluorescent	84
1298	flutist	flûtiste	flutist	flûtist	86
1299	flypast	survol	flypast	survol	15
1300	flyweight	poids mouche	flyweight	poids mouch	20
1301	foamiest	mousseux	foamiest	mousseux	25
1302	foggiest	le plus brumeux	foggiest	le plus brum	20
1303	foist	frapper	foist	frapp	20
1304	folkart	art folklorique	folkart	art folklor	56
1305	folklorist	folkloriste	folklorist	folklor	82
1306	foment	fomenter	foment	foment	100
1307	fondant	fondant	fondant	fond	73
1308	fondest	le plus cher	fondest	le plus ch	24
1309	font	Police de caractère	font	police de caracter	18
1310	foot	pied	foot	pied	0
1311	footprint	empreinte	footprint	empreint	59
1312	footrest	repose pieds	footrest	repose pied	32
1313	forecast	prévoir	forecast	prévoir	27
1314	forecourt	parvis	forecourt	parv	15
1315	forefront	premier plan	forefront	premier plan	38
1316	foremost	avant toute chose	foremost	avant toute chos	33
1317	foresight	prévoyance	foresight	prévoi	27
1318	forest	forêt	forest	forêt	73
1319	forethought	prévoyance	forethought	prévoi	12
1320	forfeit	déclarer forfait	forfeit	déclarer forf	40
1321	forget	Oubliez	forget	oubl	20
1322	forgetmenot	ne m'oublie pas	forgetmenot	ne m'oublie p	17
1323	forgot	oublié	forgot	oubli	18
1324	formalist	formaliste	formalist	formal	80
1325	formant	formant	formant	form	73
1326	format	format	format	format	100
1327	fort	fort	fort	fort	100
1328	forthright	franc	forthright	franc	27
1329	fortnight	quinze jours	fortnight	quinze jour	20
1330	fought	combattu	fought	combattu	29
1331	foulest	le plus sale	foulest	le plus sal	33
1332	fount	source	fount	sourc	40
1333	foxhunt	chasse au renard	foxhunt	chasse au renard	26
1334	foxiest	le plus renard	foxiest	le plus renard	19
1335	foxtrot	fox-trot	foxtrot	fox-trot	93
1336	fragment	fragment	fragment	fragment	100
1337	fragrant	parfumé	fragrant	parfum	14
1338	frailest	le plus fragile	frailest	le plus fragil	45
1339	frankest	le plus franc	frankest	le plus franc	38
1340	fraudulent	frauduleux	fraudul	fraudul	100
1341	fraught	chargé	fraught	charg	33
1342	freight	cargaison	freight	cargaison	25
1343	frequent	fréquent	frequent	fréquent	88
1344	freshest	le plus frais	freshest	le plus fr	22
1345	fret	frette	fret	fret	100
1346	friendliest	le plus sympathique	friendliest	le plus sympath	31
1347	fright	la frayeur	fright	la frayeur	25
1348	frilliest	le plus voluptueux	frilliest	le plus voluptu	33
1349	friskiest	le plus fringant	friskiest	le plus fring	27
1350	front	de face	front	de fac	18
1351	frost	gel	frost	gel	0
1352	frostiest	le plus glacial	frostiest	le plus glacial	17
1353	frothiest	le plus mousseux	frothiest	le plus mouss	18
1354	fruit	fruit	fruit	fruit	100
1355	fruitiest	le plus fruité	fruitiest	le plus fru	30
1356	fulfilment	accomplissement	fulfil	accompl	15
1357	fullest	le plus complet	fullest	le plus complet	36
1358	fulminant	fulminante	fulmin	fulmin	100
1359	functionalist	fonctionnaliste	functionalist	fonctionnal	75
1360	fundamentalist	fondamentaliste	fundamentalist	fondamental	80
1361	funniest	le plus drôle	funniest	le plus drôl	20
1362	furriest	le plus furieux	furriest	le plus furi	40
1363	furthest	le plus éloigné	furthest	le plus éloign	18
1364	fussiest	le plus difficile	fussiest	le plus difficil	25
1365	futurist	futuriste	futurist	futur	77
1366	fuzziest	le plus flou	fuzziest	le plus flou	20
1367	gadget	gadget	gadget	gadget	100
1368	gait	démarche	gait	démarch	18
1369	gallant	galant	gallant	gal	60
1370	gambit	gambit	gambit	gamb	80
1371	gamut	gamme	gamut	gamm	67
1372	gannet	fou de Bassan	gannet	fou de bassan	21
1373	garment	vêtement	garment	vêt	20
1374	garnet	grenat	garnet	grenat	50
1375	garret	grenier	garret	greni	55
1376	gasket	joint	gasket	joint	18
1377	gaslight	gazole	gaslight	gazol	46
1378	gassiest	le plus gazeux	gassiest	le plus gaz	21
1379	gatepost	poteau	gatepost	poteau	29
1380	gaudiest	le plus maudit	gaudiest	le plus maud	30
1381	gaunt	décharné	gaunt	décharn	33
1382	gauntlet	gant	gauntlet	gant	67
1383	gayest	le plus gay	gayest	le plus gay	35
1384	genealogist	généalogiste	genealogist	généalog	63
1385	generalist	généraliste	generalist	général	59
1386	geneticist	généticien	geneticist	généticien	60
1387	gent	gentil	gent	gentil	80
1388	genteelest	le plus raffiné	genteelest	le plus raffin	25
1389	gentlest	le plus doux	gentlest	le plus doux	30
1390	genuflect	génuflexion	genuflect	génuflexion	60
1391	geologist	géologue	geologist	géologu	62
1392	geophysicist	géophysicien	geophysicist	géophysicien	75
1393	gerontologist	gérontologue	gerontologist	gérontologu	75
1394	gestalt	gestalt	gestalt	gestalt	100
1395	get	obtenir	get	obten	25
1396	ghastliest	le plus horrible	ghastliest	le plus horribl	16
1397	ghost	fantôme	ghost	fantôm	18
1398	ghostliest	le plus fantomatique	ghostliest	le plus fantomat	15
1399	giant	géant	giant	gé	29
1400	gibbet	gibet	gibbet	gibet	91
1401	giddiest	le plus vertigineux	giddiest	le plus vertigin	17
1402	gift	cadeau	gift	cadeau	0
1403	gigavolt	gigavolt	gigavolt	gigavolt	100
1404	gilt	doré	gilt	dor	0
1405	gimlet	vrille	gimlet	vrill	36
1406	girt	ceinture	girt	ceintur	36
1407	gist	essentiel	gist	essentiel	15
1408	glaciologist	glaciologue	glaciologist	glaciologu	82
1409	gladdest	le plus joyeux	gladdest	le plus joi	32
1410	glasnost	Glasnost	glasnost	glasnost	100
1411	glassiest	vitreux	glassiest	vitreux	25
1412	glint	reflet	glint	reflet	36
1413	gloat	jubiler	gloat	jubil	20
1414	gloomiest	le plus sombre	gloomiest	le plus sombr	27
1415	glossiest	le plus brillant	glossiest	le plus brill	27
1416	glut	surabondance	glut	surabond	17
1417	gnat	moucheron	gnat	moucheron	15
1418	goalpost	poteau de but	goalpost	poteau de but	29
1419	goat	chèvre	goat	chevr	0
1420	gobbet	gobbet	gobbet	gobbet	100
1421	goblet	gobelet	goblet	gobelet	92
1422	goodnight	Bonsoir	goodnight	bonsoir	38
1423	goriest	goriest	goriest	goriest	100
1424	got	a obtenu	got	a obtenu	36
1425	gourmet	gourmet	gourmet	gourmet	100
1426	gout	goutte	gout	goutt	89
1427	government	gouvernement	govern	gouvern	92
1428	gradient	pente	gradient	pent	50
1429	gradualist	gradualiste	gradualist	gradual	82
1430	graft	greffer	graft	greff	60
1431	grainiest	le plus grainé	grainiest	le plus grain	45
1432	grandest	le plus grandiose	grandest	le plus grandios	50
1433	grandiloquent	grandiloquent	grandiloqu	grandiloquent	87
1434	grandparent	grand-parent	grandpar	grand-parent	80
1435	grant	accorder	grant	accord	18
1436	grapefruit	pamplemousse	grapefruit	pamplemouss	38
1437	grapeshot	grapeshot	grapeshot	grapeshot	100
1438	graphologist	graphologue	graphologist	graphologu	82
1439	grassiest	le plus herbeux	grassiest	le plus herb	10
1440	gravest	le plus grave	gravest	le plus grav	42
1441	greasepaint	peinture à la graisse	greasepaint	peinture à la graiss	26
1442	greasiest	le plus gras	greasiest	le plus gr	21
1443	great	génial	great	génial	36
1444	greataunt	grand-tante	greataunt	grand-t	50
1445	greatcoat	houppelande	greatcoat	houppeland	21
1446	greatest	le plus grand	greatest	le plus grand	29
1447	greediest	le plus gourmand	greediest	le plus gourmand	24
1448	greenest	le plus vert	greenest	le plus vert	20
1449	greet	saluer	greet	salu	0
1450	greyest	le plus gris	greyest	le plus gr	24
1451	grimiest	le plus sinistre	grimiest	le plus sinistr	35
1452	grimmest	le plus sombre	grimmest	le plus sombr	10
1453	grisliest	le plus grincheux	grisliest	le plus grinch	26
1454	grist	blé à moudre	grist	blé à moudr	12
1455	grit	grincer	grit	grinc	67
1456	grittiest	le plus dur	grittiest	le plus dur	10
1457	grizzliest	grizzliest	grizzliest	grizzliest	100
1458	groat	gruau	groat	gruau	60
1459	groggiest	le plus groggy	groggiest	le plus groggy	43
1460	grommet	oeillet	grommet	oeillet	43
1461	grossest	le plus grossier	grossest	le plus grossi	45
1462	groundnut	Arachide	groundnut	arachid	25
1463	groundsheet	tapis de sol	groundsheet	tapis de sol	9
1464	grout	jointoyer	grout	jointoi	33
1465	grubbiest	le plus sale	grubbiest	le plus sal	20
1466	grumpiest	le plus grincheux	grumpiest	le plus grinch	26
1467	grunt	grognement	grunt	grogn	60
1468	guest	invité	guest	invit	20
1469	guillemot	Guillemot	guillemot	guillemot	100
1470	guilt	la culpabilité	guilt	la culp	33
1471	guiltiest	le plus coupable	guiltiest	le plus coup	19
1472	guitarist	guitariste	guitarist	guitar	80
1473	gullet	œsophage	gullet	œsophag	15
1474	gunboat	canonnière	gunboat	canonni	29
1475	gunfight	fusillade	gunfight	fusillad	25
1476	gunpoint	arme à feu	gunpoint	arme à feu	11
1477	gunshot	coup de feu	gunshot	coup de feu	11
1478	gunsight	viseur	gunsight	viseur	14
1479	gusset	soufflet	gusset	soufflet	43
1480	gust	rafale	gust	rafal	0
1481	gustiest	le plus en rafale	gustiest	le plus en rafal	25
1482	gut	intestin	gut	intestin	18
1483	gymnast	gymnaste	gymnast	gymnast	100
1484	gynaecologist	gynécologue	gynaecologist	gynécologu	70
1485	habit	habitude	habit	habitud	83
1486	habitat	habitat	habitat	habitat	100
1487	hadnt	hadnt	hadnt	hadnt	100
1488	haematologist	hématologue	haematologist	hématologu	70
1489	haft	manche	haft	manch	22
1490	haircut	la Coupe de cheveux	haircut	la coupe de chev	9
1491	hairiest	le plus poilu	hairiest	le plus poilu	10
1492	hairnet	résille	hairnet	résill	15
1493	halibut	flétan	halibut	flétan	15
1494	halt	arrêt	halt	arrêt	44
1495	hamlet	Hamlet	hamlet	hamlet	100
1496	handcart	charrette à bras	handcart	charrette à br	36
1497	handicraft	artisanat	handicraft	artisanat	42
1498	handiest	le plus pratique	handiest	le plus prat	20
1499	handout	polycopié	handout	polycopi	13
1500	handset	combiné	handset	combin	15
1501	handsomest	le plus beau	handsomest	le plus beau	9
1502	happiest	le plus heureux	happiest	le plus heur	20
1503	harassment	harcèlement	harass	harcel	50
1504	hardest	le plus dur	hardest	le plus dur	11
1505	hardhit	coup dur	hardhit	coup dur	13
1506	hardiest	le plus robuste	hardiest	le plus robust	27
1507	harlot	prostituée	harlot	prostitu	43
1508	harpist	harpiste	harpist	harpist	100
1509	harshest	le plus dur	harshest	le plus dur	11
1510	hart	cerf	hart	cerf	25
1511	harvest	récolte	harvest	récolt	31
1512	hasnt	hasnt	hasnt	hasnt	100
1513	hastiest	le plus hâtif	hastiest	le plus hât	21
1514	hat	chapeau	hat	chapeau	40
1515	hatchet	hachette	hatchet	hachet	92
1516	haughtiest	le plus hautain	haughtiest	le plus hautain	40
1517	haunt	hanter	haunt	hant	89
1518	havent	havent	havent	havent	100
1519	hayloft	grenier à foin	hayloft	grenier à foin	10
1520	hazelnut	Noisette	hazelnut	noiset	29
1521	haziest	le plus flou	haziest	le plus flou	21
1522	headcount	effectif	headcount	effect	40
1523	headfast	headfast	headfast	headfast	100
1524	headiest	le plus enivrant	headiest	le plus enivr	19
1525	headlight	phare	headlight	phar	31
1526	headrest	appui-tête	headrest	appui-têt	24
1527	headset	casque	headset	casqu	33
1528	healthiest	le plus sain	healthiest	le plus sain	27
1529	heart	cœur	heart	cœur	22
1530	heartbeat	battement de coeur	heartbeat	battement de coeur	22
1531	heartfelt	sincère	heartfelt	sincer	27
1532	heartiest	le plus chaleureux	heartiest	le plus chaleur	25
1533	hearttoheart	coeur à coeur	hearttoheart	coeur à coeur	40
1534	heat	Chauffer	heat	chauff	40
1535	heatresistant	résistant à la chaleur	heatresist	résistant à la chaleur	31
1536	heavensent	envoyé du ciel	heavens	envoyé du ciel	19
1537	heaviest	le plus lourd	heaviest	le plus lourd	19
1538	heavyweight	poids lourd	heavyweight	poids lourd	9
1539	hedonist	hédoniste	hedonist	hédon	62
1540	heft	soupeser	heft	soupes	20
1541	height	la taille	height	la taill	14
1542	heist	cambriolage	heist	cambriolag	13
1543	helmet	casque	helmet	casqu	0
1544	herbalist	herboriste	herbalist	herbor	53
1545	hermit	ermite	hermit	ermit	91
1546	hesitant	hésitant	hesit	hésit	80
1547	heterosexist	hétérosexiste	heterosexist	hétérosex	67
1548	hideout	cachette	hideout	cachet	46
1549	highest	plus haut	highest	plus haut	25
1550	highlight	mettre en évidence	highlight	mettre en évident	15
1551	highpoint	point haut	highpoint	point haut	53
1552	hight	haut	hight	haut	44
1553	hilliest	le plus vallonné	hilliest	le plus vallon	18
1554	hilt	poignée	hilt	poign	22
1555	hindmost	le plus en arrière	hindmost	le plus en arri	9
1556	hindsight	sagesse rétrospective	hindsight	sagesse rétrospect	22
1557	hint	indice	hint	indic	44
1558	historicist	historiciste	historicist	historic	84
1559	hit	frapper	hit	frapp	0
1560	hoarfrost	givre	hoarfrost	givr	15
1561	hobbit	Hobbit	hobbit	hobb	80
1562	hobbyist	amateur	hobbyist	amateur	13
1563	hoist	hisser	hoist	hiss	67
1564	holdout	résistant	holdout	résist	15
1565	holiest	le plus saint	holiest	le plus saint	30
1566	holocaust	holocauste	holocaust	holocaust	100
1567	homiest	homiest	homiest	homiest	100
1568	honest	honnête	honest	honnêt	67
1569	hoot	huée	hoot	hu	33
1570	hornet	frelon	hornet	frelon	33
1571	horticulturist	horticulteur	horticulturist	horticulteur	85
1572	host	héberger	host	héberg	20
1573	hot	chaud	hot	chaud	25
1574	hotpot	hotpot	hotpot	hotpot	100
1575	hotspot	point chaud	hotspot	point chaud	33
1576	hottest	le plus chaud	hottest	le plus chaud	10
1577	houseboat	péniche	houseboat	pénich	13
1578	hovercraft	aéroglisseur	hovercraft	aéroglisseur	27
1579	huguenot	Huguenot	huguenot	huguenot	100
1580	humanist	humaniste	humanist	human	77
1581	humblest	le plus humble	humblest	le plus humbl	48
1582	humorist	humoriste	humorist	humor	77
1583	hundredweight	quintal	hundredweight	quintal	30
1584	hungriest	affamé	hungriest	affam	0
1585	hunt	chasse	hunt	chass	22
1586	hurt	faire mal	hurt	faire mal	15
1587	huskiest	le plus rauque	huskiest	le plus rauqu	19
1588	hut	cabane	hut	caban	0
1589	hydrant	bouche d'incendie	hydrant	bouche d'incend	27
1590	hygienist	hygiéniste	hygienist	hygien	80
1591	hypermarket	grande surface	hypermarket	grande surfac	25
1592	hypertext	hypertexte	hypertext	hypertext	100
1593	hypnotist	hypnotiseur	hypnotist	hypnotiseur	80
1594	iciest	le plus glacial	iciest	le plus glacial	19
1595	iconoclast	iconoclaste	iconoclast	iconoclast	100
1596	idealist	idéaliste	idealist	idéal	62
1597	ideologist	idéologue	ideologist	idéologu	67
1598	idiolect	idiolecte	idiolect	idiolect	100
1599	idiot	espèce d'imbécile	idiot	espèce d'imbécil	19
1600	idlest	le plus oisif	idlest	le plus ois	35
1601	ignorant	ignorant	ignor	ignor	100
1602	illicit	illicite	illicit	illicit	100
1603	illuminant	illuminant	illumin	illumin	100
1604	illusionist	illusionniste	illusionist	illusion	84
1605	immanent	immanent	imman	immanent	77
1606	immigrant	immigrant	immigr	immigr	100
1607	imminent	imminent	immin	imminent	77
1608	immodest	impudique	immodest	impud	46
1609	immunologist	immunologiste	immunologist	immunolog	86
1610	impact	impacter	impact	impact	100
1611	impairment	déficience	impair	déficient	27
1612	impart	donner	impart	don	0
1613	impatient	impatient	impati	impatient	80
1614	impeachment	mise en accusation	impeach	mise en accus	40
1615	impediment	obstacle	impedi	obstacl	0
1616	imperfect	imparfait	imperfect	imparf	67
1617	imperialist	impérialiste	imperialist	impérial	74
1618	impermanent	transitoire	imperman	transitoir	33
1619	impertinent	impertinent	impertin	impertinent	84
1620	impingement	Conflit	imping	confl	18
1621	implant	implant	implant	implant	100
1622	implement	mettre en place	implement	mettre en plac	26
1623	implicit	implicite	implicit	implicit	100
1624	import	importer	import	import	100
1625	important	important	import	import	100
1626	impotent	impuissant	impot	impuiss	50
1627	impoverishment	appauvrissement	impoverish	appauvr	35
1628	impressionist	impressionniste	impressionist	impression	87
1629	imprint	imprimer	imprint	imprim	77
1630	imprisonment	emprisonnement	imprison	emprison	88
1631	improvement	amélioration	improv	amélior	31
1632	improvident	imprévoyant	improvid	imprévoi	75
1633	imprudent	imprudent	imprud	imprudent	80
1634	impudent	impudent	impud	impudent	77
1635	inadvertent	involontaire	inadvert	involontair	42
1636	inbuilt	intégré	inbuilt	integr	46
1637	incandescent	incandescent	incandesc	incandescent	86
1638	incant	incant	incant	incant	100
1639	incessant	incessant	incess	incess	100
1640	incest	inceste	incest	incest	100
1641	incident	incident	incid	incident	77
1642	incipient	naissant	incipi	naiss	18
1643	incitement	incitation	incit	incit	100
1644	inclement	inclément	inclement	inclément	89
1645	incoherent	incohérent	incoher	incohérent	71
1646	incompetent	incompétent	incompet	incompétent	84
1647	inconsistent	inconsistant	inconsist	inconsist	100
1648	inconstant	inconstant	inconst	inconst	100
1649	incontinent	incontinent	incontin	incontinent	84
1650	inconvenient	incommode	inconveni	incommod	47
1651	incorrect	Incorrect	incorrect	incorrect	100
1652	increment	incrément	increment	incrément	89
1653	incumbent	titulaire	incumb	titulair	29
1654	indecent	indécent	indec	indécent	62
1655	indent	retrait	indent	retr	40
1656	independent	indépendant	independ	indépend	88
1657	indicant	indicant	indic	indic	100
1658	indict	accuser	indict	accus	18
1659	indictment	accusation	indict	accus	18
1660	indifferent	indifférent	indiffer	indifférent	74
1661	indignant	indigné	indign	indign	100
1662	indirect	indirect	indirect	indirect	100
1663	indiscreet	indiscret	indiscreet	indiscret	95
1664	indistinct	indistinct	indistinct	indistinct	100
1665	individualist	individualiste	individualist	individual	87
1666	indolent	indolent	indol	indolent	77
1667	inducement	incitation	induc	incit	60
1668	induct	installer	induct	install	46
1669	indulgent	indulgent	indulg	indulgent	80
1670	industrialist	industriel	industrialist	industriel	78
1671	inefficient	inefficace	ineffici	inefficac	82
1672	inelegant	inélégant	ineleg	inéleg	83
1673	inept	inepte	inept	inept	100
1674	inert	inerte	inert	inert	100
1675	inexact	inexact	inexact	inexact	100
1676	inexpedient	inopportun	inexpedi	inopportun	33
1677	inexpert	inexpert	inexpert	inexpert	100
1678	infant	bébé	infant	beb	0
1679	infarct	infarctus	infarct	infarctus	88
1680	infect	infecter	infect	infect	100
1681	infest	infester	infest	infest	100
1682	inflect	infléchir	inflect	inflech	86
1683	inflict	infliger	inflict	inflig	77
1684	informant	informateur	inform	inform	100
1685	infrequent	rare	infrequ	rar	20
1686	infringement	infraction	infring	infract	57
1687	ingest	ingérer	ingest	inger	73
1688	ingot	lingot	ingot	lingot	91
1689	ingredient	ingrédient	ingredi	ingrédient	71
1690	inhabit	habiter	inhabit	habit	83
1691	inhabitant	habitant	inhabit	habit	83
1692	inhalant	inhalant	inhal	inhal	100
1693	inherent	inhérent	inher	inhérent	62
1694	inherit	hériter	inherit	hérit	67
1695	inhibit	inhiber	inhibit	inhib	83
1696	inject	injecter	inject	inject	100
1697	inkiest	inkiest	inkiest	inkiest	100
1698	inkpot	encrier	inkpot	encri	18
1699	inlet	entrée	inlet	entré	40
1700	inmost	dans la plupart	inmost	dans la plupart	29
1701	innermost	au plus profond	innermost	au plus profond	8
1702	innocent	innocent	innoc	innocent	77
1703	input	saisir	input	sais	22
1704	inquest	enquête	inquest	enquêt	62
1705	insect	insecte	insect	insect	100
1706	insert	insérer	insert	inser	91
1707	inset	encart	inset	encart	36
1708	insideout	à l'envers	insideout	à l'enver	22
1709	insight	aperçu	insight	aperçu	0
1710	insignificant	insignifiant	insignific	insignifi	95
1711	insist	insister	insist	insist	100
1712	insistent	insistant	insist	insist	100
1713	insolent	insolent	insol	insolent	77
1714	insolvent	insolvable	insolv	insolv	100
1715	insouciant	insouciant	insouci	insouci	100
1716	inspect	inspecter	inspect	inspect	100
1717	instalment	Versement	instal	vers	20
1718	instant	instant	instant	instant	100
1719	instinct	instinct	instinct	instinct	100
1720	instruct	instruire	instruct	instruir	75
1721	instrument	instrument	instrument	instrument	100
1722	instrumentalist	instrumentaliste	instrumentalist	instrumental	89
1723	insufficient	insuffisant	insuffici	insuffis	82
1724	insulant	isolant	insul	isol	67
1725	insult	insulter	insult	insult	100
1726	insurgent	insurgé	insurg	insurg	100
1727	intact	intact	intact	intact	100
1728	integrationist	intégrationniste	integrationist	intégration	80
1729	intellect	intellect	intellect	intellect	100
1730	intelligent	intelligente	intellig	intelligent	84
1731	intent	intention	intent	intent	100
1732	interact	interagir	interact	interag	80
1733	intercept	intercepter	intercept	intercept	100
1734	interconnect	interconnecter	interconnect	interconnect	100
1735	intercut	entrecouper	intercut	entrecoup	59
1736	interdependent	interdépendant	interdepend	interdépend	91
1737	interdict	interdit	interdict	interd	80
1738	interest	intérêt	interest	intérêt	67
1739	interject	interjeter	interject	interjet	94
1740	interment	inhumation	inter	inhum	40
1741	intermittent	intermittent	intermitt	intermittent	86
1742	internationalist	internationaliste	internationalist	international	90
1743	internet	l'Internet	internet	l'internet	89
1744	internment	internement	intern	intern	100
1745	interpret	interpréter	interpret	interpret	100
1746	interrupt	interrompre	interrupt	interrompr	74
1747	intersect	couper	intersect	coup	15
1748	interventionist	interventionniste	interventionist	intervention	89
1749	intolerant	intolérant	intoler	intoler	100
1750	intoxicant	toxique	intoxic	toxiqu	62
1751	intransigent	intransigeant	intransig	intransig	100
1752	introvert	introverti	introvert	introvert	100
1753	intuitionist	intuitionniste	intuitionist	intuition	86
1754	inuit	inuit	inuit	inuit	100
1755	invariant	invariant	invari	invari	100
1756	invent	inventer	invent	invent	100
1757	invert	inverser	invert	invers	83
1758	invest	investir	invest	invest	100
1759	investment	investissement	invest	invest	100
1760	involvement	participation	involv	particip	14
1761	iridescent	iridescent	iridesc	iridescent	82
1762	irrelevant	hors du sujet	irrelev	hors du sujet	20
1763	irreverent	irrévérencieux	irrever	irrévérenci	44
1764	irritant	irritant	irrit	irrit	100
1765	islet	îlot	islet	îlot	44
1766	isnt	n'est pas	isnt	n'est p	36
1767	isolationist	isolationniste	isolationist	isolation	86
1768	it	il	it	il	50
1769	itchiest	démangeaisons	itchiest	démangeaison	20
1770	itinerant	itinérant	itiner	itiner	100
1771	jackboot	jackboot	jackboot	jackboot	100
1772	jacket	veste	jacket	vest	40
1773	jackpot	cagnotte	jackpot	cagnott	43
1774	jaunt	balade	jaunt	balad	20
1775	jauntiest	le plus fou	jauntiest	le plus fou	20
1776	jazziest	le plus jazzé	jazziest	le plus jazz	40
1777	jerkiest	saccadé	jerkiest	saccad	14
1778	jest	plaisanter	jest	plaisant	33
1779	jesuit	jésuite	jesuit	jésuit	83
1780	jet	jet	jet	jet	100
1781	jilt	plaquer	jilt	plaqu	22
1782	joint	découper	joint	découp	18
1783	joist	solive	joist	soliv	40
1784	jolliest	joyeux	jolliest	joyeux	43
1785	jolt	secousse	jolt	secouss	18
1786	jot	iota	jot	iot	67
1787	journalist	journaliste	journalist	journal	82
1788	joust	joute	joust	jout	89
1789	jubilant	radieux	jubil	radieux	17
1790	judgement	jugement	judgement	jug	50
1791	judgment	jugement	judgment	jug	55
1792	juggernaut	mastodonte	juggernaut	mastodont	21
1793	juiciest	le plus juteux	juiciest	le plus jut	32
1794	jumpiest	le plus nerveux	jumpiest	le plus nerv	20
1795	jumpstart	Début de saut	jumpstart	début de saut	27
1796	jumpsuit	combinaison	jumpsuit	combinaison	21
1797	junket	voyage	junket	voyag	0
1798	jurist	juriste	jurist	jurist	100
1799	just	seulement	just	seul	25
1800	jut	saillie	jut	saill	0
1801	karst	karst	karst	karst	100
1802	keenest	le plus vif	keenest	le plus v	25
1803	kelt	kelt	kelt	kelt	100
1804	kent	Kent	kent	kent	100
1805	kept	conservé	kept	conserv	18
1806	keyboardist	claviériste	keyboardist	clavier	22
1807	kickstart	kickstart	kickstart	kickstart	100
1808	kilovolt	kilovolt	kilovolt	kilovolt	100
1809	kilowatt	kilowatt	kilowatt	kilowatt	100
1810	kilt	kilt	kilt	kilt	100
1811	kindest	le plus gentil	kindest	le plus gentil	10
1812	kindliest	le plus gentil	kindliest	le plus gentil	17
1813	kismet	Kismet	kismet	kismet	100
1814	kit	trousse	kit	trouss	22
1815	knelt	agenouillé	knelt	agenouill	29
1816	knesset	knesset	knesset	knesset	100
1817	knifepoint	couteau	knifepoint	couteau	12
1818	knight	chevalier	knight	chevali	15
1819	knit	tricoter	knit	tricot	40
1820	knockout	Assommer	knockout	assomm	14
1821	knot	nouer	knot	nou	57
1822	knottiest	le plus noueux	knottiest	le plus nou	20
1823	kraft	kraft	kraft	kraft	100
1824	kuwait	Koweit	kuwait	koweit	67
1825	lambent	éblouissant	lambent	éblou	17
1826	lament	complainte	lament	complaint	53
1827	lamest	le plus maussade	lamest	le plus maussad	29
1828	lamplight	lampe de poche	lamplight	lampe de poch	45
1829	lamplit	réverbère	lamplit	réverber	0
1830	lamppost	lampadaire	lamppost	lampadair	47
1831	lancelot	Lancelot	lancelot	lancelot	100
1832	lancet	lancette	lancet	lancet	100
1833	lankiest	le plus maigre	lankiest	le plus maigr	29
1834	largest	le plus grand	largest	le plus grand	20
1835	last	dernier	last	derni	0
1836	latent	latent	latent	latent	100
1837	latest	dernier	latest	derni	18
1838	lawsuit	procès	lawsuit	proces	15
1839	layabout	mise en page	layabout	mise en pag	11
1840	layout	agencement	layout	agenc	18
1841	lazaret	Lazaret	lazaret	lazaret	100
1842	laziest	le plus paresseux	laziest	le plus paress	38
1843	leafiest	le plus feuillu	leafiest	le plus feuillu	35
1844	leaflet	brochure	leaflet	brochur	0
1845	leakiest	le plus fuyant	leakiest	le plus fui	32
1846	leanest	le plus maigre	leanest	le plus maigr	30
1847	leant	penché	leant	pench	40
1848	leapt	bondit	leapt	bond	0
1849	learnt	appris	learnt	appris	33
1850	least	moins	least	moin	0
1851	leat	leat	leat	leat	100
1852	left	gauche	left	gauch	0
1853	leftist	gauchiste	leftist	gauchist	40
1854	leftmost	le plus à gauche	leftmost	le plus à gauch	26
1855	lengthiest	le plus long	lengthiest	le plus long	36
1856	lenient	indulgent	lenient	indulgent	50
1857	lent	prêté	lent	prêt	25
1858	lest	de peur	lest	de peur	18
1859	let	laisser	let	laiss	25
1860	librettist	librettiste	librettist	libret	75
1861	lieutenant	lieutenant	lieuten	lieuten	100
1862	lifebelt	ceinture de sauvetage	lifebelt	ceinture de sauvetag	29
1863	lifeboat	canot de sauvetage	lifeboat	canot de sauvetag	24
1864	liferaft	canot de sauvetage	liferaft	canot de sauvetag	24
1865	lift	ascenseur	lift	ascenseur	0
1866	ligament	ligament	ligament	lig	55
1867	light	lumière	light	lumi	44
1868	lightest	le plus léger	lightest	le plus leg	21
1869	lightweight	poids léger	lightweight	poids leg	20
1870	likeliest	le plus probable	likeliest	le plus prob	38
1871	lilliput	Lilliput	lilliput	lilliput	100
1872	lilt	cadence	lilt	cadenc	0
1873	limelight	feux de la rampe	limelight	feux de la ramp	17
1874	limit	limite	limit	limit	100
1875	limpet	patelle	limpet	patel	18
1876	lineout	alignement	lineout	align	50
1877	linguist	linguiste	linguist	linguist	100
1878	liniment	liniment	liniment	lin	55
1879	linnet	linotte	linnet	linott	67
1880	lint	peluche	lint	peluch	20
1881	list	liste	list	list	100
